brand_name
Nike
Air Jordan
Jordan
New Balance
Yeezy
Off-White
Louis Vuitton
Saint Laurent
S'yte
Adidas
Gucci
Prada
Supreme
BAPE
Converse
Vans
Puma
Reebok
Under Armour
Champion
